Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f7/Lactarius_aurantiacus_060924b.jpg;Esneki laranja;Marasmio jangarri;Urritx;Wikipedia;https://eu.wikipedia.org/wiki/Esneki_laranja;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/05/Russ.fell.jpg;Gibelokre konpotausaidun;Psilocybe semilanceata;Gibelilun orrizabalara;Wikipedia;https://eu.wikipedia.org/wiki/Gibelokre_konpotausaidun;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/0c/Calocybe_gambosa_080420wa.jpg;Udaberriko zizazuri;Boilur beltz;Galdakao lanperna;Wikipedia;https://eu.wikipedia.org/wiki/Udaberriko_zizazuri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/7/7e/Boletus.JPG;Udako onddozuri;Udaberriko zizazuri;Lanperna ezkatazorrotz;Wikipedia;https://eu.wikipedia.org/wiki/Udako_onddozuri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/1/11/2010-09-26_Phallus_impudicus_crop.jpg;Etsai zakil;Ziza arre;Kukumelo ezkatagris;Wikipedia;https://eu.wikipedia.org/wiki/Etsai_zakil;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/e/e9/Russ.del.jpg;Gibelzuri orrizabala;Gibelurdin;Ziza arre;Wikipedia;https://eu.wikipedia.org/wiki/Gibelzuri_orrizabala;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/d/db/2008-07-30_Russula_decipiens_68830.jpg;Russula decipiens;Onddo hankazorrotz;Onddozuri mingots;Wikipedia;https://eu.wikipedia.org/wiki/Russula_decipiens;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/4/40/Pieczarka_polowa_vongrzanka.JPG;Elur-bola;Onddobeltz;Galdakao lanperna;Wikipedia;https://eu.wikipedia.org/wiki/Elur-bola;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/a0/Panaeolus_papilionaceus_%28Bull.%29_Qu%C3%A9l_183735.jpg;Orribeltz berdexka;Amanita ocreata;Onddobeltz;Wikipedia;https://eu.wikipedia.org/wiki/Orribeltz_berdexka;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/82/Tricholoma_equestre.jpg;Zaldun-ziza orrihori;Boletus pseudoregius;Gibelubel iodousaiduna;Wikipedia;https://eu.wikipedia.org/wiki/Zaldun-ziza_orrihori;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/2/28/2010-09-13_Boletus_luridus_Schaeff_104527_crop.jpg;Onddo zikin;Onddozuri mingots;Boletus rhodopurpureus;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_zikin;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/9/99/Amanita_phalloides_1.JPG;Hiltzaile berde;Pagardi esneki berde;Udaberriko zizazuri;Wikipedia;https://eu.wikipedia.org/wiki/Hiltzaile_berde;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/c/c2/BOLETUS_PSEUDOREGIUS_Kallenbach.jpg;Boletus pseudoregius;Amanita eliae;Barrengorri;Wikipedia;https://eu.wikipedia.org/wiki/Boletus_pseudoregius;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/e/ef/Amanita_gemmata_von_hms.jpg;Lanperna hori;Hiltzaile goiztiar;Gibel-laranja orinduna;Wikipedia;https://eu.wikipedia.org/wiki/Lanperna_hori;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/3/31/Oronges.jpg;Kuleto;Urritx;Lanperna limoi;Wikipedia;https://eu.wikipedia.org/wiki/Kuleto;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/fa/Amanita_ocreata_79782.jpg;Amanita ocreata;Kuleto;Gibelokre hankazuria;Wikipedia;https://eu.wikipedia.org/wiki/Amanita_ocreata;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/d/d8/Lactarius_blennius_JPG01.jpg;Pagardi esneki berde;Orribeltz berdexka;Esneardotsu;Wikipedia;https://eu.wikipedia.org/wiki/Pagardi_esneki_berde;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/bf/Clitopilus_prunulus_-_Lindsey.jpg;Errotari;Belarri landu;Amanita irintsu;Wikipedia;https://eu.wikipedia.org/wiki/Errotari;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/d/d8/Morchella_esculenta_300405.jpg;Morchella esculenta;Lanperna txar;Marasmio jangarri;Wikipedia;https://eu.wikipedia.org/wiki/Morchella_esculenta;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/89/Lactarius_deliciosus.jpg;Esnegorri;Boletus speciosus;Russula veternosa;Wikipedia;https://eu.wikipedia.org/wiki/Esnegorri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/6/66/Schoenfussroehrling.jpg;Onddo hankaeder;Lanperna txar;Esnegorri;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_hankaeder;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/83/Amanita_fulva_lowpx.jpg;Kukumelo marroiska;Amanita irintsu;Errotari;Wikipedia;https://eu.wikipedia.org/wiki/Kukumelo_marroiska;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f7/Amanita_franchetii_%28Boud.%29_Fayod.jpg;Lanperna ezkatahori;Zaldun-ziza orrihori;Onddo zikin;Wikipedia;https://eu.wikipedia.org/wiki/Lanperna_ezkatahori;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/fe/Russ.ves.jpg;Gibelarrosa goiztiarra;Esnekizuri orribildu;Marasmio jangarri;Wikipedia;https://eu.wikipedia.org/wiki/Gibelarrosa_goiztiarra;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/7/79/Russula_virescens3.JPG;Gibelurdin;Boletus rhodoxanthus;Gibelilun orrizabalara;Wikipedia;https://eu.wikipedia.org/wiki/Gibelurdin;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/d/d2/A.excelsa.jpg;Lanperna ilun;Gibel-laranja orinduna;Gibelarrosa goiztiarra;Wikipedia;https://eu.wikipedia.org/wiki/Lanperna_ilun;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/80/Lactarius_vellereus_-_Lindsey_1a.jpg;Esneki argi;Pagardi esneki berde;Boletus rhodoxanthus;Wikipedia;https://eu.wikipedia.org/wiki/Esneki_argi;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/3/34/Am.echin.jpg;Lanperna ezkatazorrotz;kardu-ziza;Onddozuri mingots;Wikipedia;https://eu.wikipedia.org/wiki/Lanperna_ezkatazorrotz;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/b6/2009-10-24_Amanita_ceciliae_group_62030_crop.jpg;Kukumelo ezkatagris;Tripaki argi;Amanita irintsu;Wikipedia;https://eu.wikipedia.org/wiki/Kukumelo_ezkatagris;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/4/45/Boletus_speciosus_var._brunneus_169906.jpg;Boletus speciosus;Udaberriko zizazuri;Zizahori;Wikipedia;https://eu.wikipedia.org/wiki/Boletus_speciosus;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f3/Amanita_eliae_1.png;Amanita eliae;Gibelilun orrizabalara;Esnato;Wikipedia;https://eu.wikipedia.org/wiki/Amanita_eliae;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/2/25/Boletus_regius_37212.jpg;Onddo errege;Saltsa-perretxiko horilun;Udako onddozuri;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_errege;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/89/Amanita_boudieri_%281%29.jpg;Amanita irintsu;Lanperna ilun;Boletus rhodopurpureus;Wikipedia;https://eu.wikipedia.org/wiki/Amanita_irintsu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/e/e4/Boletus_impolitus_2009_G2.jpg;Onddo iodousaindu;Pinudi-gibelubel;Leccinellum crocipodium;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_iodousaindu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/3/38/2012-06-15_Russula_risigallina_%28Batsch%29_Saccardo_228083.jpg;Gibel kamalehoi;Ilarraka;Elur-bola;Wikipedia;https://eu.wikipedia.org/wiki/Gibel_kamalehoi;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/8a/Leccinum_pseudoscabrum1.JPG;Xarma-onddo;Kukumelo luze;Lanperna ezkatazorrotz;Wikipedia;https://eu.wikipedia.org/wiki/Xarma-onddo;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/e/ed/Amanita_pantherina_1.JPG;Lanperna txar;Barrengorri;Gibel-laranja orinduna;Wikipedia;https://eu.wikipedia.org/wiki/Lanperna_txar;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/e/eb/Russula_veternosa-Bres.jpg;Russula veternosa;Rubroboletus legaliae;Gibelokre hankazuria;Wikipedia;https://eu.wikipedia.org/wiki/Russula_veternosa;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/c/c7/2008-11-05_Amanita_lividopallescens_%28Secr._ex_Gillet%29_Boud_27978_crop.jpg;Kukumelo luze;Ziza ilun-hankahorixka;Kukumelo gris;Wikipedia;https://eu.wikipedia.org/wiki/Kukumelo_luze;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f6/2010-09-29_Russula_cyanoxantha_cropped.jpg;Urritx;Elur-bola;Boletus rhodoxanthus;Wikipedia;https://eu.wikipedia.org/wiki/Urritx;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/b6/Amanita_rubescens.JPG;Ardotsu;Udako boilur;Barrengorri;Wikipedia;https://eu.wikipedia.org/wiki/Ardotsu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/be/Cantharellus_tubaeformis_G28.JPG;Saltsa-perretxiko horilun;Belarri landu;Udako boilur;Wikipedia;https://eu.wikipedia.org/wiki/Saltsa-perretxiko_horilun;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/aa/2007-07-14_Cantharellus_cibarius.jpg;Cantharellus;Ardotsu;Hiltzaile berde;Wikipedia;https://eu.wikipedia.org/wiki/Cantharellus;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/7/75/Tricholoma_portentosum_181316.jpg;Ziza ilun-hankahorixka;Esneki argi;Gibelmore hankamorea;Wikipedia;https://eu.wikipedia.org/wiki/Ziza_ilun-hankahorixka;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/a7/Lu%C4%8Dn%C3%AD_-_Boletus_rhodopurpureus_01.jpg;Boletus rhodopurpureus;Lanperna hori;Lanperna txar;Wikipedia;https://eu.wikipedia.org/wiki/Boletus_rhodopurpureus;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/02/2002-01-05_Russula_maculata_Qu%C3%A9l._%26_Roze_115_crop.jpg;Gibel-laranja orinduna;Onddo errege;Errotari;Wikipedia;https://eu.wikipedia.org/wiki/Gibel-laranja_orinduna;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/84/Armillaria_mellea%2C_Honey_Fungus%2C_UK_1.jpg;Armillaria;Saltsa-perretxiko horilun;Gibelarrosa goiztiarra;Wikipedia;https://eu.wikipedia.org/wiki/Armillaria;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/5/5f/2011-05-14_Russula_lepida_146790.jpg;Gibelgorri hankagogorra;Gibelzuri orrizabala;Leccinellum crocipodium;Wikipedia;https://eu.wikipedia.org/wiki/Gibelgorri_hankagogorra;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/5/55/Amanita_vaginata_qtl1.jpg;Kukumelo gris;Lanperna txar;Ziza arre;Wikipedia;https://eu.wikipedia.org/wiki/Kukumelo_gris;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/09/Boletus_rhodoxanthus.JPG;Boletus rhodoxanthus;Lanperna ezkatahori;Pagardi esneki berde;Wikipedia;https://eu.wikipedia.org/wiki/Boletus_rhodoxanthus;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/01/ChampignonMushroom.jpg;Agaricus bisporus;Russula veternosa;Kukumelo gris;Wikipedia;https://eu.wikipedia.org/wiki/Agaricus_bisporus;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/ab/Bol006.jpg;Onddozuri mingots;kukuma;Amanita ocreata;Wikipedia;https://eu.wikipedia.org/wiki/Onddozuri_mingots;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/6/66/Boletus_pinophilus3.JPG;Onddo pinu;Amanita ocreata;Esneki argi;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_pinu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/ac/2008-09-25_Russula_torulosa_12623.jpg;Gibelmore hankamorea;Gibelokre hankazuria;Esnato;Wikipedia;https://eu.wikipedia.org/wiki/Gibelmore_hankamorea;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/8c/Russ.sard.jpg;Pinudi-gibelubel;Gibelgorri hankagogorra;Udaberriko zizazuri;Wikipedia;https://eu.wikipedia.org/wiki/Pinudi-gibelubel;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/9/98/Coprinus_comatus.jpg;Urbeltz;Pinudi-gibelubel;Kukumelo gris;Wikipedia;https://eu.wikipedia.org/wiki/Urbeltz;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/8a/B.legaliae_button.jpg;Rubroboletus legaliae;Onddo laranja;Lanperna ezkatazorrotz;Wikipedia;https://eu.wikipedia.org/wiki/Rubroboletus_legaliae;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/fd/Boletus_queletii.jpg;Quelet onddo;Amanita proxima;Lanperna limoi;Wikipedia;https://eu.wikipedia.org/wiki/Quelet_onddo;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/a4/Macrolepiota-procera.jpg;Galanperna;Ardotsu;Hiltzaile berde;Wikipedia;https://eu.wikipedia.org/wiki/Galanperna;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/a6/Boletus_erythropus_2010_G3.jpg;onddo hankagorri;Onddo zikin;Amanita ocreata;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_hankagorri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/a4/Leccinum_crocipodium.JPG;Leccinellum crocipodium;Gibel kuletoa;Gibelarrosa goiztiarra;Wikipedia;https://eu.wikipedia.org/wiki/Leccinellum_crocipodium;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/b0/BoletusLupinus01.jpg;Boletus lupinus;Esnato;kardu-ziza;Wikipedia;https://eu.wikipedia.org/wiki/Boletus_lupinus;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/2/2e/Boletus_badius_JPG1.jpg;Onddo arre;Gibel kamalehoi;Errotari;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_arre;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/3/3c/Russ_nobilis.jpg;Gibelgorri orriurdinska;Ziza arre;Xarma-onddo;Wikipedia;https://eu.wikipedia.org/wiki/Gibelgorri_orriurdinska;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/b9/Hedgehog_fungi2.jpg;Tripaki argi;onddo hankagorri;Gibeloliba;Wikipedia;https://eu.wikipedia.org/wiki/Tripaki_argi;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/2/2b/Black.summer.truffle.arp.jpg;Udako boilur;Orribeltz berdexka;Udako onddozuri;Wikipedia;https://eu.wikipedia.org/wiki/Udako_boilur;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/7/7a/Leccinum_aurantiacum.jpg;Onddo laranja;Gibel-laranja orinduna;Agaricus bisporus;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_laranja;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/1/1f/Russula_ochroleuca_ch%C3%A2taigne.JPG;Gibelokre hankazuria;Boletus dupainii;Gibelzuri orrizabala;Wikipedia;https://eu.wikipedia.org/wiki/Gibelokre_hankazuria;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/bd/Russ.sang.jpg;Pinudi-gibelgorria;Kuleto;Quelet onddo;Wikipedia;https://eu.wikipedia.org/wiki/Pinudi-gibelgorria;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/b1/Amanita_proxima_Dum%C3%A9e_512034_2014-11-29.jpg;Amanita proxima;Gibelubel iodousaiduna;Onddo arre;Wikipedia;https://eu.wikipedia.org/wiki/Amanita_proxima;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/9/98/Jodoform-T%C3%A4ubling_%28Russula_turci%29.jpg;Gibelubel iodousaiduna;Boilur beltz;Udako onddozuri;Wikipedia;https://eu.wikipedia.org/wiki/Gibelubel_iodousaiduna;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f4/Leccinum_lepidum.jpg;Artadi onddo belzkorra;Errotari;Boletus dupainii;Wikipedia;https://eu.wikipedia.org/wiki/Artadi_onddo_belzkorra;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/9/9a/Chanterelle_Cantharellus_cibarius.jpg;Zizahori;Esneardotsu;Onddo laranja;Wikipedia;https://eu.wikipedia.org/wiki/Zizahori;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/08/Marasmius_oreades_garden_050829B.JPG;Marasmio jangarri;Onddo hankaeder;Orribeltz berdexka;Wikipedia;https://eu.wikipedia.org/wiki/Marasmio_jangarri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/1/11/Lactarius_volemus_54887.jpg;Esnato;Barrengorri;Russula veternosa;Wikipedia;https://eu.wikipedia.org/wiki/Esnato;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/bb/Lactarius_piperatus_98569.jpg;Esnekizuri orribildu;Udako boilur;Kuleto;Wikipedia;https://eu.wikipedia.org/wiki/Esnekizuri_orribildu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f6/Pleurotus_ostreatus_JPG7.jpg;Belarri landu;Gibelmore hankamorea;Kukumelo ezkatagris;Wikipedia;https://eu.wikipedia.org/wiki/Belarri_landu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/85/Birkenpilz01.jpg;Urki-onddo;Lanperna ezkatahori;Gibelubel iodousaiduna;Wikipedia;https://eu.wikipedia.org/wiki/Urki-onddo;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/b/b0/Boletus_edulis_EtgHollande_041031_091.jpg;Onddozuri;Gibelarrosa goiztiarra;Lanperna ezkatahori;Wikipedia;https://eu.wikipedia.org/wiki/Onddozuri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/00/Amanita_sp._2010-10-31.jpg;Lanperna limoi;Belarri landu;Onddo hankazorrotz;Wikipedia;https://eu.wikipedia.org/wiki/Lanperna_limoi;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/a/ac/Pleurotus_eryngii.jpg;kardu-ziza;Onddozuri mingots;Kuleto;Wikipedia;https://eu.wikipedia.org/wiki/Kardu-ziza;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/1/10/Cantharellus_lutescens.jpg;Saltsa-perretxiko hori;Morchella esculenta;Lanperna ezkatahori;Wikipedia;https://eu.wikipedia.org/wiki/Saltsa-perretxiko_hori;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/87/Clitocybe_Nebularis.JPG;Ilarraka;Gibelarrosa goiztiarra;Pinudi-gibelubel;Wikipedia;https://eu.wikipedia.org/wiki/Ilarraka;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/3/32/Amanita_muscaria_3_vliegenzwammen_op_rij.jpg;Kuleto faltsu;Galanperna;Leccinum leucopodium;Wikipedia;https://eu.wikipedia.org/wiki/Kuleto_faltsu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/e/ee/Lactarius_controversus.jpg;Esnekizuri orriarrosa;Esneki argi;Gibelgorri hankagogorra;Wikipedia;https://eu.wikipedia.org/wiki/Esnekizuri_orriarrosa;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/7/75/Russula_Aurea.JPG;Gibel kuletoa;Amanita eliae;Marasmio jangarri;Wikipedia;https://eu.wikipedia.org/wiki/Gibel_kuletoa;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/f4/Psilocybe.semilanceata.Alan.jpg;Psilocybe semilanceata;Agaricus bisporus;Amanita proxima;Wikipedia;https://eu.wikipedia.org/wiki/Psilocybe_semilanceata;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/8e/Bronze_Roehrling.jpg;Onddobeltz;Gibel kuletoa;Galdakao lanperna;Wikipedia;https://eu.wikipedia.org/wiki/Onddobeltz;;
